nom,description,date_debut,date_fin,multiplicateur,couleur,icone
BOOSTER MANDATS,Points doublés sur tous les mandats signés !,2026-07-01T00:00:00,2026-07-10T23:59:59,2,#FF6A14,🔥
SUPER SEMAINE,Les nouveaux clients comptent triple !,2026-08-15T08:00:00,2026-08-22T18:00:00,3,#D50032,🚀
